secteur,type,lettre,nom,nom_fichier,prompt
Primaire,produit,A,Pizza,primaire_produit_pizza.png,"Digital illustration of Pizza, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Blé,primaire_constituant_ble.png,"Digital illustration icon of Blé, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Tomate,primaire_constituant_tomate.png,"Digital illustration icon of Tomate, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Cochon,primaire_constituant_cochon.png,"Digital illustration icon of Cochon, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Vache,primaire_constituant_vache.png,"Digital illustration icon of Vache, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Olivier,primaire_constituant_olivier.png,"Digital illustration icon of Olivier, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,B,Pain,primaire_produit_pain.png,"Digital illustration of Pain, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Eau,primaire_constituant_eau.png,"Digital illustration icon of Eau, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Sel,primaire_constituant_sel.png,"Digital illustration icon of Sel, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Levure,primaire_constituant_levure.png,"Digital illustration icon of Levure, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Seigle,primaire_constituant_seigle.png,"Digital illustration icon of Seigle, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,C,Pâtes,primaire_produit_pates.png,"Digital illustration of Pâtes, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Blé dur,primaire_constituant_ble_dur.png,"Digital illustration icon of Blé dur, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Œuf,primaire_constituant_uf.png,"Digital illustration icon of Œuf, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,D,Fromage,primaire_produit_fromage.png,"Digital illustration of Fromage, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Lait de vache,primaire_constituant_lait_de_vache.png,"Digital illustration icon of Lait de vache, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Présure,primaire_constituant_presure.png,"Digital illustration icon of Présure, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Herbes,primaire_constituant_herbes.png,"Digital illustration icon of Herbes, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Bois,primaire_constituant_bois.png,"Digital illustration icon of Bois, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,E,Yaourt,primaire_produit_yaourt.png,"Digital illustration of Yaourt, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Ferments lactiques,primaire_constituant_ferments_lactiques.png,"Digital illustration icon of Ferments lactiques, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Fruits,primaire_constituant_fruits.png,"Digital illustration icon of Fruits, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Sucre,primaire_constituant_sucre.png,"Digital illustration icon of Sucre, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,F,Chocolat,primaire_produit_chocolat.png,"Digital illustration of Chocolat, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Cacao,primaire_constituant_cacao.png,"Digital illustration icon of Cacao, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Canne à sucre,primaire_constituant_canne_a_sucre.png,"Digital illustration icon of Canne à sucre, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Lait,primaire_constituant_lait.png,"Digital illustration icon of Lait, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Vanille,primaire_constituant_vanille.png,"Digital illustration icon of Vanille, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Noisette,primaire_constituant_noisette.png,"Digital illustration icon of Noisette, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,produit,G,Confiture,primaire_produit_confiture.png,"Digital illustration of Confiture, centered composition, small children's card game style, semi-realistic and colorful, warm inviting lighting, clean bold outlines, simple uncluttered background, vibrant but harmonious colors, no text, no letters, no watermark, no signature, square format, leaves breathing room around the edges for a circular crop."
Primaire,constituant,,Fraise,primaire_constituant_fraise.png,"Digital illustration icon of Fraise, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Citron,primaire_constituant_citron.png,"Digital illustration icon of Citron, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
Primaire,constituant,,Menthe,primaire_constituant_menthe.png,"Digital illustration icon of Menthe, centered on a plain light background, small children's card game style, semi-realistic and colorful, soft shading, clean bold outlines, simple and instantly recognizable silhouette even at small size, no text, no letters, no watermark, no signature, square format."
